agent_uuid,hostname,ssh_alias,host_code,toml_path,in_deploy_script,ssh_ok,token_hash,status
be1c2b82-81ff-460d-8041-db1cef0e9054,Alexs-iMac,Alexs-iMac,Alexs-iMac,deploy/configs/agents/Alexs-iMac.toml,no,,no,pending
58c9e391-13f3-44d7-bc08-b56451476747,dev-local,dev-local,dev-local,deploy/configs/agents/dev-local.toml,no,,yes,done
328d594e-0590-49d6-9d38-774c34fe4d1b,hz.113,hz.113,hz.113,deploy/configs/agents/hz-113.toml,yes,,yes,done
03eb8203-f1b0-4674-8955-cc744a3dea4b,hz.118,hz.118,hz.118,deploy/configs/agents/hz-118.toml,yes,,yes,done
60467471-366a-44f9-b63a-5fa1b685517c,hz.123,hz.123,hz.123,deploy/configs/agents/hz-123.toml,yes,,yes,done
9b0b5cab-9967-4b92-b6bb-f16f5c9c0011,hz.157,hz.157,hz.157,deploy/configs/agents/hz-157.toml,yes,,yes,done
61b390fa-6ceb-40dc-8f3a-39dba42a5ef7,hz.164,hz.164,hz.164,deploy/configs/agents/hz-164.toml,yes,,yes,done
5275ff11-f034-473a-a286-094fa3f0ec2a,hz.215,hz.215,hz.215,deploy/configs/agents/hz-215.toml,yes,,yes,done
927da882-933e-49ab-aacf-e155e6c77399,hz.223,hz.223,hz.223,deploy/configs/agents/hz-223.toml,yes,,yes,done
bf037235-c10f-4751-90da-544401e2d664,hz.247,hz.247,hz.247,deploy/configs/agents/hz-247.toml,yes,,yes,done
d4a0a5b3-0593-4b8f-b78c-1c28b1f1d053,hz.62,hz.62,hz.62,deploy/configs/agents/hz-62.toml,yes,,yes,done
e664e0a7-553f-4b58-95ad-dfed7195ed9b,lxc-ci-worker,lxc-ci-worker,lxc-ci-worker,deploy/configs/agents/lxc-ci-worker.toml,yes,,yes,done
e7ca8967-fcee-440d-8454-2c09a08af87e,lxc-hz118-mediserver2,hz.118.lxc.103,lxc-hz118-mediserver2,deploy/configs/agents/lxc-hz118-mediserver2.toml,yes,,yes,done
fa60360d-9be8-464f-bd6a-a1a43b5266f8,lxc-hz118-tecdocmysql,hz.118.lxc.102,lxc-hz118-tecdocmysql,deploy/configs/agents/lxc-hz118-tecdocmysql.toml,yes,,yes,done
056d90ba-a86b-487a-9f1c-292c47115cc1,lxc-hz118-tecdocnode,hz.118.lxc.101,lxc-hz118-tecdocnode,deploy/configs/agents/lxc-hz118-tecdocnode.toml,yes,,yes,done
68f7f169-85fa-4169-990e-cc0edc9b3fb3,lxc-hz118-traktors,hz.118.lxc.100,lxc-hz118-traktors,deploy/configs/agents/lxc-hz118-traktors.toml,yes,,yes,done
f83ca10c-ee42-4f19-9d66-ff69ebe00b5f,lxc-llm-guard,lxc-llm-guard,lxc-llm-guard,deploy/configs/agents/lxc-llm-guard.toml,yes,,yes,done
29cca218-9e62-4429-a302-ccabdf4229a0,lxc-neanelu-prod,lxc-neanelu-prod,lxc-neanelu-prod,deploy/configs/agents/lxc-neanelu-prod.toml,yes,,yes,done
13d9c8db-7b8a-4834-a6c9-77fc23cf587e,lxc-neanelu-staging,lxc-neanelu-staging,lxc-neanelu-staging,deploy/configs/agents/lxc-neanelu-staging.toml,yes,,no,pending
e1404f61-e9df-484e-9521-a2a3d30d3e40,lxc-postgres-main,lxc-postgres-main,lxc-postgres-main,deploy/configs/agents/lxc-postgres-main.toml,yes,,yes,done
4435a91e-ba4c-4493-9894-46a871466824,lxc-prod-cerniq,lxc-prod-cerniq,lxc-prod-cerniq,deploy/configs/agents/lxc-prod-cerniq.toml,yes,,yes,done
df88ce13-3fc8-4972-8b3c-42a066565109,lxc-staging-cerniq,lxc-staging-cerniq,lxc-staging-cerniq,deploy/configs/agents/lxc-staging-cerniq.toml,yes,,yes,done
7d3b7b04-6452-41d6-9404-52d8dccff863,lxc-wapp-pro-app,wapp-pro-app,lxc-wapp-pro-app,deploy/configs/agents/lxc-wapp-pro-app.toml,yes,,yes,done
de571afc-73ae-4ad4-8e71-71f85887faa8,orchestrator,orchestrator,orchestrator,deploy/configs/agents/orchestrator.toml,yes,,yes,done
